"Dataset","Verdict","GRADE","Sens","Spec","Utility_AUNBC"
"AuditC_data","ROBUST","Low",0.856,0.79,6.9
"Cochrane_CD007394","ROBUST","Low",0.65,0.879,5.6
"Cochrane_CD007427","CONDITIONAL","Low",0.582,0.751,1.8
"Cochrane_CD008054","ROBUST","Low",0.837,0.565,2.6
"Cochrane_CD008081","ROBUST","Low",0.799,0.846,7.4
"Cochrane_CD008686","CONDITIONAL","Low",0.408,0.883,2
"Cochrane_CD008760","ROBUST","Low",0.785,0.804,5.8
"Cochrane_CD008782","ROBUST","Low",0.741,0.652,2.3
"Cochrane_CD008803","ROBUST","Low",0.624,0.885,5.4
"Cochrane_CD008892","ROBUST","Low",0.745,0.823,5.4
"Cochrane_CD009020","ROBUST","Low",0.847,0.848,8.8
"Cochrane_CD009135","ROBUST","Low",0.86,0.905,12.6
"Cochrane_CD009185","ROBUST","Low",0.823,0.573,2.5
"Cochrane_CD009323","ROBUST","Low",0.633,0.978,16.3
"Cochrane_CD009372","ROBUST","Low",0.927,0.967,25.2
"Cochrane_CD009519","ROBUST","Low",0.719,0.858,6.2
"Cochrane_CD009551","ROBUST","Low",0.698,0.837,5.2
"Cochrane_CD009579","ROBUST","Low",0.712,0.81,4.7
"Cochrane_CD009591","ROBUST","Low",0.81,0.929,13.3
"Cochrane_CD009593","ROBUST","Low",0.861,0.978,25.8
"Cochrane_CD009647","CONDITIONAL","Low",0.298,0.698,0
"Cochrane_CD009786","CONDITIONAL","Low",0.662,0.946,11
"Cochrane_CD009944","ROBUST","Low",0.819,0.796,6.1
"Cochrane_CD010023","CONDITIONAL","Low",0.818,0.935,14.3
"Cochrane_CD010079","ROBUST","Low",0.782,0.835,6.7
"Cochrane_CD010173","ROBUST","Low",0.775,0.969,19.2
"Cochrane_CD010276","ROBUST","Low",0.843,0.74,5.1
"Cochrane_CD010339","ROBUST","Low",0.836,0.965,20.8
"Cochrane_CD010360","ROBUST","Low",0.922,0.944,19.7
"Cochrane_CD010386","CONDITIONAL","Low",0.846,0.619,3.5
"Cochrane_CD010409","ROBUST","Low",0.879,0.981,27.9
"Cochrane_CD010438","CONDITIONAL","Low",0.921,0.815,8.7
"Cochrane_CD010502","ROBUST","Low",0.843,0.949,17.6
"Cochrane_CD010542","ROBUST","Low",0.868,0.744,5.9
"Cochrane_CD010632","CONDITIONAL","Low",0.714,0.719,2.8
"Cochrane_CD010633","CONDITIONAL","Low",0.823,0.829,7.2
"Cochrane_CD010653","ROBUST","Low",0.582,0.811,2.6
"Cochrane_CD010657","CONDITIONAL","Low",0.642,0.62,1
"Cochrane_CD010705","ROBUST","Low",0.814,0.97,20.9
"Cochrane_CD010771","ROBUST","Low",0.829,0.915,12.3
"Cochrane_CD010772","ROBUST","Low",0.889,0.677,5
"Cochrane_CD010775","ROBUST","Low",0.946,0.647,5.7
"Cochrane_CD010783","CONDITIONAL","Low",0.571,0.78,2
"Cochrane_CD010860","ROBUST","Low",0.957,0.87,12.6
"Cochrane_CD010896","CONDITIONAL","Low",0.689,0.869,6.2
"Cochrane_CD011134","ROBUST","Low",0.709,0.878,6.9
"Cochrane_CD011145","ROBUST","Low",0.795,0.808,6.1
"Cochrane_CD011420","ROBUST","Low",0.426,0.918,3.2
"Cochrane_CD011431","ROBUST","Low",0.799,0.981,24.2
"Cochrane_CD011515","CONDITIONAL","Low",0.795,0.803,5.9
"Cochrane_CD011548","ROBUST","Low",0.675,0.92,8.8
"Cochrane_CD011549","ROBUST","Low",0.921,0.949,20.5
"Cochrane_CD011975","ROBUST","Low",0.572,0.935,7.4
"Cochrane_CD011984","ROBUST","Low",0.554,0.95,8.5
"Cochrane_CD012019","CONDITIONAL","Low",0.709,0.732,2.9
"Cochrane_CD012165","CONDITIONAL","Low",0.774,0.719,3.7
"Cochrane_CD012179","ROBUST","Low",0.649,0.767,2.8
"Cochrane_CD012281","ROBUST","Low",0.775,0.892,9.3
"COVID_AntigenTests_Cochrane2021","ROBUST","Low",0.794,0.973,21.2
"CT_Colonography_Whiting2011","CONDITIONAL","Low",0.82,0.843,7.7
"DDimer_PE_Crawford2020","ROBUST","Low",0.947,0.793,8.8
"Dementia_data","ROBUST","Low",0.783,0.874,8.4
"Depression_Screening_Gilbody2008","ROBUST","Low",0.831,0.861,8.7
"DVT_Ultrasound_Goodacre2005","ROBUST","Low",0.923,0.966,24.7
"FENO_Asthma_Schneider2017","ROBUST","Low",0.604,0.769,2.2
"HSTroponin_MI_Body2014","ROBUST","Low",0.912,0.742,6.5
"IAQ_data","ROBUST","Low",0.949,0.924,17.4
"IQCODE_Dementia_MetaDTA","ROBUST","Low",0.871,0.684,4.5
"MRI_Prostate_Futterer2015","ROBUST","Low",0.832,0.823,7.1
"POCUS_Shock_Yoshida2023","ROBUST","Low",0.943,0.938,19.3
"Procalcitonin_Sepsis_Wacker2013","ROBUST","Low",0.822,0.763,5.3
"SAQ_data","ROBUST","Low",0.874,0.913,13.7
"SkinTests_data","CONDITIONAL","Low",0.359,0.964,4.8
"Smoking_data","ROBUST","Low",0.917,0.917,15.2
"TB_SmearMicroscopy_Steingart2006","ROBUST","Low",0.751,0.979,21.3
"XpertMTB_RIF_Tuberculosis2014","ROBUST","Low",0.842,0.973,23.1
