"Dataset","Verdict","Score","IAI","Drivers","Sens","Spec"
"AuditC_data","CONDITIONAL",78.4,0.973333333333333,"Sparse Data",0.852229529230482,0.787620359821196
"Cochrane_CD007394","CONDITIONAL",59.5862068965517,0.993103448275862,"Sparse Data",0.583863195854515,0.732871069808877
"Cochrane_CD007427","CONDITIONAL",59.864406779661,0.99774011299435,"Sparse Data",0.543751185781325,0.643320295543394
"Cochrane_CD008054","CONDITIONAL",59.9087452471483,0.998479087452471,"Sparse Data",0.682254255967405,0.535911186630728
"Cochrane_CD008081","CONDITIONAL",77.2763461538462,0.954605769230769,"Sparse Data",0.796721746942188,0.840663747460889
"Cochrane_CD008686","CONDITIONAL",59.25,0.9875,"Sparse Data",0.484861796314869,0.74232304232045
"Cochrane_CD008760","CONDITIONAL",59.5555555555556,0.992592592592593,"Sparse Data",0.677093301615537,0.672863269192156
"Cochrane_CD008782","CONDITIONAL",59.0769230769231,0.984615384615385,"Sparse Data",0.633865820497742,0.593373026456918
"Cochrane_CD008803","CONDITIONAL",59.9764474975466,0.999607458292444,"Sparse Data",0.564627135372244,0.740101954649855
"Cochrane_CD008892","CONDITIONAL",59.8451612903226,0.99741935483871,"Sparse Data",0.64281791797626,0.687107340384983
"Cochrane_CD009020","CONDITIONAL",58.8306810035842,0.980511350059737,"Sparse Data",0.700931375892272,0.704090323142492
"Cochrane_CD009135","CONDITIONAL",59.5714285714286,0.992857142857143,"Sparse Data",0.718386419176281,0.754667232498334
"Cochrane_CD009185","CONDITIONAL",59.5294117647059,0.992156862745098,"Sparse Data",0.691128653808163,0.542734145443366
"Cochrane_CD009323","CONDITIONAL",67.8818604651163,0.798031007751938,"Sparse Data",0.586994663554155,0.815787157984244
"Cochrane_CD009372","IMMUTABLE TRUTH",83.5303225806452,0.725505376344086,"Sparse Data",0.889629059357344,0.942836098085837
"Cochrane_CD009519","CONDITIONAL",59.4782608695652,0.991304347826087,"Sparse Data",0.62617083369884,0.721224378642773
"Cochrane_CD009551","CONDITIONAL",59.2941176470588,0.988235294117647,"Sparse Data",0.61357498864021,0.708568479408462
"Cochrane_CD009579","CONDITIONAL",59.8674033149171,0.997790055248619,"Sparse Data",0.614403821099868,0.677343645968084
"Cochrane_CD009591","CONDITIONAL",59.8344827586207,0.997241379310345,"Sparse Data",0.669079894484503,0.768528145746416
"Cochrane_CD009593","CONDITIONAL",79.9233226837061,0.998722044728435,"Sparse Data",0.717087303629344,0.837261338926969
"Cochrane_CD009647","CONDITIONAL",59.9256965944272,0.998761609907121,"Sparse Data",0.398609450074405,0.604914673282429
"Cochrane_CD009786","FRAGILE",49.9936,0.499893333333333,"Low Power; Sparse Data",0.66587562067902,0.902990053204481
"Cochrane_CD009944","CONDITIONAL",59.8509316770186,0.997515527950311,"Sparse Data",0.679809983622558,0.663709256992342
"Cochrane_CD010023","FRAGILE",43.9148571428571,0.731914285714286,"Sparse Data",0.70346938413469,0.775898649252768
"Cochrane_CD010079","CONDITIONAL",59.5555555555556,0.992592592592593,"Robust",0.65908127452555,0.698979023458353
"Cochrane_CD010173","CONDITIONAL",78.1538461538462,0.969230769230769,"Robust",0.772856746174322,0.946034077291049
"Cochrane_CD010276","CONDITIONAL",59.4666666666667,0.991111111111111,"Sparse Data",0.699166540590494,0.627128539345314
"Cochrane_CD010339","IMMUTABLE TRUTH",85.1461818181818,0.752436363636364,"Sparse Data",0.831546507358683,0.938543292379152
"Cochrane_CD010360","CONDITIONAL",59.7913043478261,0.996521739130435,"Sparse Data",0.769891768450721,0.797585476735492
"Cochrane_CD010386","CONDITIONAL",50.8166233766234,0.51361038961039,"Low Power; Sparse Data",0.842191884905068,0.621425425653659
"Cochrane_CD010409","CONDITIONAL",79.8095238095238,0.996825396825397,"Sparse Data",0.711518182462813,0.820179126735715
"Cochrane_CD010438","CONDITIONAL",77.38,0.623,"Few Studies; Sparse Data",0.854144768275203,0.82583634486319
"Cochrane_CD010502","CONDITIONAL",79.9298245614035,0.998830409356725,"Sparse Data",0.704944868416228,0.819455945503231
"Cochrane_CD010542","CONDITIONAL",54.663500761035,0.91105834601725,"Sparse Data",0.728594869416511,0.624122084861381
"Cochrane_CD010632","FRAGILE",40.9705263157895,0.682842105263158,"Low Power; Sparse Data",0.619652752073467,0.61939177726477
"Cochrane_CD010633","CONDITIONAL",61.27,0.3545,"Low Power; Few Studies; Sparse Data",0.852295285359801,0.846538461538461
"Cochrane_CD010653","CONDITIONAL",59.4545454545455,0.990909090909091,"Sparse Data",0.554199227902171,0.680233331195126
"Cochrane_CD010657","CONDITIONAL",59.6842105263158,0.994736842105263,"Sparse Data",0.581901821649711,0.570836397669278
"Cochrane_CD010705","CONDITIONAL",79.9266055045872,0.998776758409786,"Sparse Data",0.673064558832458,0.827969700693748
"Cochrane_CD010771","IMMUTABLE TRUTH",96.5714285714286,0.942857142857143,"Sparse Data",0.823336232119679,0.878917566186259
"Cochrane_CD010772","CONDITIONAL",59.7272727272727,0.995454545454545,"Sparse Data",0.747228059264792,0.596754860233272
"Cochrane_CD010775","CONDITIONAL",77,0.95,"Sparse Data",0.89248228405764,0.650054026010522
"Cochrane_CD010783","CONDITIONAL",58.2857142857143,0.971428571428571,"Robust",0.575742895553422,0.777463179141269
"Cochrane_CD010860","IMMUTABLE TRUTH",94,0.9,"Few Studies",0.848927958833619,0.856938092582264
"Cochrane_CD010896","FRAGILE",49.3682352941176,0.822803921568627,"Sparse Data",0.620975501378277,0.733280907750775
"Cochrane_CD011134","CONDITIONAL",59.7333333333333,0.995555555555556,"Sparse Data",0.618542586886229,0.732995432556968
"Cochrane_CD011145","CONDITIONAL",59.8518518518519,0.997530864197531,"Sparse Data",0.666304544409156,0.666462627673735
"Cochrane_CD011420","CONDITIONAL",59.8378378378378,0.997297297297297,"Sparse Data",0.473618513946878,0.77001416172851
"Cochrane_CD011431","CONDITIONAL",79.8110236220472,0.996850393700787,"Sparse Data",0.674538710651241,0.872873401131586
"Cochrane_CD011515","FRAGILE",37.2436363636364,0.287393939393939,"Low Power; Few Studies",0.793518518518519,0.803333333333333
"Cochrane_CD011548","CONDITIONAL",77.6,0.96,"Sparse Data",0.677348435625134,0.893219379191566
"Cochrane_CD011549","CONDITIONAL",78.8571428571429,0.980952380952381,"Sparse Data",0.755790435318351,0.800467138882152
"Cochrane_CD011975","CONDITIONAL",59.9142857142857,0.998571428571429,"Sparse Data",0.539010139839471,0.790488618480679
"Cochrane_CD011984","CONDITIONAL",79.6883116883117,0.994805194805195,"Sparse Data",0.536098868466275,0.813003352199957
"Cochrane_CD012019","FRAGILE",41.4981818181818,0.691636363636364,"Robust",0.70929846575987,0.730894044596345
"Cochrane_CD012165","FRAGILE",47.9902040816327,0.799836734693878,"Sparse Data",0.661602530524429,0.623890470327105
"Cochrane_CD012179","CONDITIONAL",59.8846153846154,0.998076923076923,"Sparse Data",0.580051728602391,0.654788072741934
"Cochrane_CD012281","CONDITIONAL",59.1428571428571,0.985714285714286,"Sparse Data",0.663308208222961,0.743135527963038
"COVID_AntigenTests_Cochrane2021","CONDITIONAL",78.8571428571429,0.980952380952381,"Robust",0.672710277262731,0.848354951807447
"CT_Colonography_Whiting2011","IMMUTABLE TRUTH",86.9701818181818,0.782836363636364,"Robust",0.816492948746717,0.837183117264865
"DDimer_PE_Crawford2020","CONDITIONAL",58.9565217391304,0.982608695652174,"Robust",0.793353103450052,0.676390560874696
"Dementia_data","CONDITIONAL",59.2941176470588,0.988235294117647,"Sparse Data",0.671191624322843,0.746969442439065
"Depression_Screening_Gilbody2008","IMMUTABLE TRUTH",98.2857142857143,0.971428571428571,"Robust",0.827663199663,0.856290897480049
"DVT_Ultrasound_Goodacre2005","CONDITIONAL",78.5,0.975,"Robust",0.758880249383515,0.835133163109374
"FENO_Asthma_Schneider2017","CONDITIONAL",59.841059602649,0.997350993377483,"Sparse Data",0.559224772737485,0.645955698477198
"HSTroponin_MI_Body2014","CONDITIONAL",58.5882352941176,0.976470588235294,"Robust",0.754666329580883,0.64803842374958
"IAQ_data","CONDITIONAL",78.8571428571429,0.980952380952381,"Sparse Data",0.806737718603921,0.777435171993534
"IQCODE_Dementia_MetaDTA","CONDITIONAL",78.2857142857143,0.971428571428571,"Sparse Data",0.866428863125052,0.684561293772081
"MRI_Prostate_Futterer2015","CONDITIONAL",58.5,0.975,"Robust",0.703767305346569,0.699834140259696
"POCUS_Shock_Yoshida2023","IMMUTABLE TRUTH",90.4138461538462,0.840230769230769,"Robust",0.907583281582223,0.916424042848
"Procalcitonin_Sepsis_Wacker2013","CONDITIONAL",58.7368421052632,0.978947368421053,"Robust",0.693282111674803,0.657886008087769
"SAQ_data","CONDITIONAL",59.25,0.9875,"Sparse Data",0.726845714011428,0.769286629623354
"SkinTests_data","CONDITIONAL",77.8181818181818,0.963636363636364,"Robust",0.374071727086343,0.937811230559167
"Smoking_data","CONDITIONAL",59.5384615384615,0.992307692307692,"Sparse Data",0.762465680371966,0.770379374860742
"TB_SmearMicroscopy_Steingart2006","CONDITIONAL",78.8571428571429,0.980952380952381,"Robust",0.640813922269677,0.856415230121033
"XpertMTB_RIF_Tuberculosis2014","CONDITIONAL",78.6666666666667,0.977777777777778,"Robust",0.710563603403988,0.847244528683675
