"Dataset","Verdict","Utility","Net_Benefit","IAI","Year","Sens","Spec"
"AuditC_data","DEFINITIVE ORACLE","Clinically Useful",0.0653,0.953,2020,0.871,0.782
"Cochrane_CD007394","ROBUST","Clinically Useful",0.0471,0.973,2020,0.598,0.873
"Cochrane_CD007427","ROBUST","Clinically Useful",0.0331,0.978,2020,0.6,0.731
"Cochrane_CD008054","ROBUST","Clinically Useful",0.0358,0.978,2020,0.854,0.505
"Cochrane_CD008081","DEFINITIVE ORACLE","Clinically Useful",0.0652,0.935,2020,0.807,0.845
"Cochrane_CD008686","ROBUST","Clinically Useful",0.02,0.968,2020,0.372,0.828
"Cochrane_CD008760","DEFINITIVE ORACLE","Clinically Useful",0.0678,0.973,2020,0.811,0.867
"Cochrane_CD008782","ROBUST","Clinically Useful",0.0404,0.965,2020,0.786,0.618
"Cochrane_CD008803","ROBUST","Clinically Useful",0.0499,0.98,2020,0.611,0.887
"Cochrane_CD008892","ROBUST","Clinically Useful",0.0537,0.977,2020,0.71,0.826
"Cochrane_CD009020","DEFINITIVE ORACLE","Clinically Useful",0.0751,0.961,2020,0.879,0.872
"Cochrane_CD009135","DEFINITIVE ORACLE","Clinically Useful",0.075,0.973,2020,0.828,0.923
"Cochrane_CD009185","ROBUST","Clinically Useful",0.0299,0.972,2020,0.762,0.537
"Cochrane_CD009323","ROBUST","Clinically Useful",0.0591,0.778,2020,0.593,0.998
"Cochrane_CD009372","DEFINITIVE ORACLE","Clinically Useful",0.0893,0.706,2020,0.922,0.971
"Cochrane_CD009519","DEFINITIVE ORACLE","Clinically Useful",0.0605,0.971,2020,0.734,0.871
"Cochrane_CD009551","ROBUST","Clinically Useful",0.0476,0.968,2020,0.675,0.802
"Cochrane_CD009579","ROBUST","Clinically Useful",0.0481,0.978,2020,0.654,0.828
"Cochrane_CD009591","DEFINITIVE ORACLE","Clinically Useful",0.0733,0.977,2020,0.778,0.955
"Cochrane_CD009593","DEFINITIVE ORACLE","Clinically Useful",0.0861,0.979,2020,0.876,0.985
"Cochrane_CD009647","CONDITIONAL","No Added Value",-0.0183,0.979,2020,0.307,0.51
"Cochrane_CD009786","CONDITIONAL","Clinically Useful",0.057,0.48,2020,0.626,0.944
"Cochrane_CD009944","DEFINITIVE ORACLE","Clinically Useful",0.0617,0.978,2020,0.842,0.774
"Cochrane_CD010023","ROBUST","Clinically Useful",0.076,0.712,2020,0.827,0.933
"Cochrane_CD010079","DEFINITIVE ORACLE","Clinically Useful",0.0641,0.973,2020,0.794,0.846
"Cochrane_CD010173","DEFINITIVE ORACLE","Clinically Useful",0.0751,0.949,2020,0.779,0.972
"Cochrane_CD010276","ROBUST","Clinically Useful",0.0558,0.971,2020,0.862,0.696
"Cochrane_CD010339","DEFINITIVE ORACLE","Clinically Useful",0.0821,0.732,2020,0.853,0.968
"Cochrane_CD010360","DEFINITIVE ORACLE","Clinically Useful",0.0869,0.977,2020,0.922,0.948
"Cochrane_CD010386","CONDITIONAL","Clinically Useful",0.0444,0.494,2020,0.861,0.583
"Cochrane_CD010409","DEFINITIVE ORACLE","Clinically Useful",0.092,0.977,2020,0.92,1
"Cochrane_CD010438","ROBUST","Clinically Useful",0.0751,0.603,2020,0.922,0.829
"Cochrane_CD010502","DEFINITIVE ORACLE","Clinically Useful",0.0813,0.979,2020,0.85,0.963
"Cochrane_CD010542","DEFINITIVE ORACLE","Clinically Useful",0.0662,0.891,2020,0.896,0.766
"Cochrane_CD010632","ROBUST","Clinically Useful",0.044,0.663,2020,0.728,0.712
"Cochrane_CD010633","ROBUST","Clinically Useful",0.0782,0.334,2020,0.919,0.863
"Cochrane_CD010653","ROBUST","Clinically Useful",0.0335,0.971,2020,0.556,0.779
"Cochrane_CD010657","ROBUST","Clinically Useful",0.0247,0.975,2020,0.627,0.621
"Cochrane_CD010705","DEFINITIVE ORACLE","Clinically Useful",0.0784,0.979,2020,0.804,0.98
"Cochrane_CD010771","DEFINITIVE ORACLE","Clinically Useful",0.0759,0.923,2020,0.856,0.903
"Cochrane_CD010772","DEFINITIVE ORACLE","Clinically Useful",0.0591,0.975,2020,0.894,0.696
"Cochrane_CD010775","ROBUST","Clinically Useful",0.0534,0.93,2020,0.945,0.589
"Cochrane_CD010783","ROBUST","Clinically Useful",0.0312,0.951,2020,0.543,0.769
"Cochrane_CD010860","DEFINITIVE ORACLE","Clinically Useful",0.0822,0.88,2020,0.936,0.887
"Cochrane_CD010896","ROBUST","Clinically Useful",0.0554,0.803,2020,0.682,0.872
"Cochrane_CD011134","ROBUST","Clinically Useful",0.0551,0.976,2020,0.709,0.843
"Cochrane_CD011145","ROBUST","Clinically Useful",0.056,0.978,2020,0.784,0.776
"Cochrane_CD011420","ROBUST","Clinically Useful",0.0343,0.977,2020,0.429,0.914
"Cochrane_CD011431","DEFINITIVE ORACLE","Clinically Useful",0.0794,0.977,2020,0.814,0.98
"Cochrane_CD011515","CONDITIONAL","Clinically Useful",0.0635,0.267,2020,0.854,0.781
"Cochrane_CD011548","ROBUST","Clinically Useful",0.0572,0.94,2020,0.659,0.913
"Cochrane_CD011549","DEFINITIVE ORACLE","Clinically Useful",0.0899,0.961,2020,0.94,0.958
"Cochrane_CD011975","ROBUST","Clinically Useful",0.0476,0.979,2020,0.565,0.912
"Cochrane_CD011984","ROBUST","Clinically Useful",0.0426,0.975,2020,0.478,0.948
"Cochrane_CD012019","ROBUST","Clinically Useful",0.0409,0.672,2020,0.7,0.708
"Cochrane_CD012165","ROBUST","Clinically Useful",0.0484,0.78,2020,0.759,0.725
"Cochrane_CD012179","ROBUST","Clinically Useful",0.0379,0.978,2020,0.638,0.741
"Cochrane_CD012281","DEFINITIVE ORACLE","Clinically Useful",0.0655,0.966,2020,0.761,0.894
"COVID_AntigenTests_Cochrane2021","DEFINITIVE ORACLE","Clinically Useful",0.0781,0.961,2020,0.802,0.978
"CT_Colonography_Whiting2011","ROBUST","Clinically Useful",0.0676,0.763,2020,0.834,0.841
"DDimer_PE_Crawford2020","DEFINITIVE ORACLE","Clinically Useful",0.0741,0.963,2020,0.953,0.788
"Dementia_data","DEFINITIVE ORACLE","Clinically Useful",0.0657,0.968,2020,0.794,0.862
"Depression_Screening_Gilbody2008","DEFINITIVE ORACLE","Clinically Useful",0.0707,0.951,2020,0.844,0.863
"DVT_Ultrasound_Goodacre2005","DEFINITIVE ORACLE","Clinically Useful",0.0888,0.955,2020,0.92,0.968
"FENO_Asthma_Schneider2017","ROBUST","Clinically Useful",0.0328,0.977,2020,0.578,0.75
"HSTroponin_MI_Body2014","DEFINITIVE ORACLE","Clinically Useful",0.0635,0.956,2020,0.907,0.728
"IAQ_data","DEFINITIVE ORACLE","Clinically Useful",0.0885,0.961,2020,0.935,0.95
"IQCODE_Dementia_MetaDTA","ROBUST","Clinically Useful",0.0548,0.951,2020,0.89,0.658
"MRI_Prostate_Futterer2015","DEFINITIVE ORACLE","Clinically Useful",0.0663,0.955,2020,0.843,0.819
"POCUS_Shock_Yoshida2023","DEFINITIVE ORACLE","Clinically Useful",0.0878,0.82,2020,0.941,0.936
"Procalcitonin_Sepsis_Wacker2013","ROBUST","Clinically Useful",0.0583,0.959,2020,0.83,0.753
"SAQ_data","DEFINITIVE ORACLE","Clinically Useful",0.0791,0.968,2020,0.886,0.905
"SkinTests_data","ROBUST","Clinically Useful",0.0248,0.944,2020,0.281,0.967
"Smoking_data","DEFINITIVE ORACLE","Clinically Useful",0.0848,0.972,2020,0.917,0.93
"TB_SmearMicroscopy_Steingart2006","DEFINITIVE ORACLE","Clinically Useful",0.0741,0.961,2020,0.757,0.984
"XpertMTB_RIF_Tuberculosis2014","DEFINITIVE ORACLE","Clinically Useful",0.0828,0.958,2020,0.853,0.975
